LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,2015-03,2.48,
AUS,LTINT,TOT,PC_PA,M,2015-04,2.41,
AUS,LTINT,TOT,PC_PA,M,2015-05,2.88,
AUS,LTINT,TOT,PC_PA,M,2015-06,2.98,
AUS,LTINT,TOT,PC_PA,M,2015-07,2.9,
AUS,LTINT,TOT,PC_PA,M,2015-08,2.72,
AUS,LTINT,TOT,PC_PA,M,2015-09,2.7,
AUS,LTINT,TOT,PC_PA,M,2015-10,2.62,
AUS,LTINT,TOT,PC_PA,M,2015-11,2.85,
AUS,LTINT,TOT,PC_PA,M,2015-12,2.85,
AUS,LTINT,TOT,PC_PA,M,2016-01,2.73,
AUS,LTINT,TOT,PC_PA,M,2016-02,2.48,
AUS,LTINT,TOT,PC_PA,M,2016-03,2.57,
AUS,LTINT,TOT,PC_PA,M,2016-04,2.52,
AUS,LTINT,TOT,PC_PA,M,2016-05,2.32,
AUS,LTINT,TOT,PC_PA,M,2016-06,2.12,
AUS,LTINT,TOT,PC_PA,M,2016-07,1.93,
AUS,LTINT,TOT,PC_PA,M,2016-08,1.88,
AUS,LTINT,TOT,PC_PA,M,2016-09,1.99,
AUS,LTINT,TOT,PC_PA,M,2016-10,2.2,
AUS,LTINT,TOT,PC_PA,M,2016-11,2.51,
AUS,LTINT,TOT,PC_PA,M,2016-12,2.79,
AUS,LTINT,TOT,PC_PA,M,2017-01,2.73,
AUS,LTINT,TOT,PC_PA,M,2017-02,2.75,
AUS,LTINT,TOT,PC_PA,M,2017-03,2.81,
AUS,LTINT,TOT,PC_PA,M,2017-04,2.56,
AUS,LTINT,TOT,PC_PA,M,2017-05,2.54,
AUS,LTINT,TOT,PC_PA,M,2017-06,2.41,
AUS,LTINT,TOT,PC_PA,M,2017-07,2.64,
AUS,LTINT,TOT,PC_PA,M,2017-08,2.6,
AUS,LTINT,TOT,PC_PA,M,2017-09,2.7,
AUS,LTINT,TOT,PC_PA,M,2017-10,2.78,
AUS,LTINT,TOT,PC_PA,M,2017-11,2.57,
AUS,LTINT,TOT,PC_PA,M,2017-12,2.58,
AUS,LTINT,TOT,PC_PA,M,2018-01,2.75,
AUS,LTINT,TOT,PC_PA,M,2018-02,2.86,
AUS,LTINT,TOT,PC_PA,M,2018-03,2.72,
AUS,LTINT,TOT,PC_PA,M,2018-04,2.74,
AUS,LTINT,TOT,PC_PA,M,2018-05,2.79,
AUS,LTINT,TOT,PC_PA,M,2018-06,2.7,
AUS,LTINT,TOT,PC_PA,M,2018-07,2.64,
AUS,LTINT,TOT,PC_PA,M,2018-08,2.59,
AUS,LTINT,TOT,PC_PA,M,2018-09,2.63,
AUS,LTINT,TOT,PC_PA,M,2018-10,2.68,
AUS,LTINT,TOT,PC_PA,M,2018-11,2.68,
AUS,LTINT,TOT,PC_PA,M,2018-12,2.43,
AUS,LTINT,TOT,PC_PA,M,2019-01,2.27,
AUS,LTINT,TOT,PC_PA,M,2019-02,2.13,
AUS,LTINT,TOT,PC_PA,M,2019-03,1.96,
AUS,LTINT,TOT,PC_PA,M,2019-04,1.86,
AUS,LTINT,TOT,PC_PA,M,2019-05,1.65,
AUS,LTINT,TOT,PC_PA,M,2019-06,1.38,
AUS,LTINT,TOT,PC_PA,M,2019-07,1.31,
AUS,LTINT,TOT,PC_PA,M,2019-08,0.95,
AUS,LTINT,TOT,PC_PA,M,2019-09,1.03,
AUS,LTINT,TOT,PC_PA,M,2019-10,1.03,
AUS,LTINT,TOT,PC_PA,M,2019-11,1.15,
AUS,LTINT,TOT,PC_PA,M,2019-12,1.2,
AUS,LTINT,TOT,PC_PA,M,2020-01,1.15,
AUS,LTINT,TOT,PC_PA,M,2020-02,0.98,
AUS,LTINT,TOT,PC_PA,M,2020-03,0.89,
AUS,LTINT,TOT,PC_PA,M,2020-04,0.86,
AUS,LTINT,TOT,PC_PA,M,2020-05,0.91,
AUS,LTINT,TOT,PC_PA,M,2020-06,0.92,
AUS,LTINT,TOT,PC_PA,M,2020-07,0.88,
AUS,LTINT,TOT,PC_PA,M,2020-08,0.89,
AUS,LTINT,TOT,PC_PA,M,2020-09,0.9,
